port_6,port_7,port_8,port_9,port_10,port_11,port_12,port_13,port_14,port_15,port_16,port_17,port_18,port_19,port_20,port_21,port_22,port_23,port_24,port_25,port_26,port_27,port_28,port_29,port_31,port_32,time,lap_#,event_label
-21.3362924528,-22.1046886792,-21.955509434,-20.4522303774,-17.3405509434,-19.053045283,-18.5084792453,-18.4811509434,-20.1544037736,-19.6705584906,-19.4954554717,-14.2507037736,-18.1260830189,-16.2068683019,-18.4003018868,-17.3210396226,-16.8266169811,-16.3816283019,-16.1932869811,-10.8343075472,-8.94026037736,-8.12016981132,-8.16426792453,-7.83142264151,-7.13580566038,-7.48798113208,2134.9,lap_10,event_8
-21.1655924528,-21.5461886792,-21.616009434,-19.9157603774,-16.9814509434,-19.053045283,-17.7880792453,-17.7955509434,-18.5447037736,-18.3861584906,-18.2544554717,-12.4286037736,-15.9119030189,-15.1349283019,-16.1317018868,-14.8547396226,-13.6963169811,-13.8672283019,-13.8315169811,-9.45180754717,-7.07856037736,-6.17996981132,-6.97716792453,-6.66232264151,-5.79370566038,-6.32168113208,2135.2,lap_10,event_8
-20.6537924528,-21.1737886792,-21.106809434,-19.2002603774,-16.2632509434,-18.027245283,-17.4278792453,-17.6240509434,-18.5447037736,-18.0191584906,-17.8994554717,-11.9316037736,-14.7185830189,-13.5269283019,-15.4337018868,-15.0309396226,-14.4329169811,-14.2264283019,-14.5582169811,-8.93340754717,-6.57076037736,-4.72486981132,-4.94216792453,-5.32632264151,-4.45160566038,-4.98898113208,2135.6,lap_10,event_8
-20.4831924528,-21.3599886792,-21.446309434,-20.0945603774,-17.1610509434,-18.882145283,-18.5084792453,-18.4811509434,-18.9024037736,-18.7530584906,-18.7864554717,-13.9194037736,-17.1047330189,-15.1349283019,-17.3532018868,-16.9687396226,-17.5631769811,-17.2795283019,-16.3749869811,-11.3527075472,-10.4634603774,-10.2219698113,-9.35126792453,-8.49942264151,-6.80020566038,-7.48798113208,2135.9,lap_10,event_8
-20.6537924528,-21.1737886792,-21.106809434,-19.7368603774,-16.9814509434,-18.711145283,-17.9681792453,-17.7955509434,-18.3659037736,-17.8356584906,-17.3674554717,-12.4286037736,-14.2071830189,-12.9909283019,-14.7357018868,-13.7978396226,-12.9598169811,-13.1488283019,-13.1048169811,-10.3158075472,-8.77096037736,-8.92856981132,-9.18176792453,-8.83342264151,-7.63910566038,-8.65438113208,2136.2,lap_10,event_8
-19.1181924528,-19.8704886792,-20.767409434,-19.5579603774,-16.8018509434,-18.540145283,-17.7880792453,-17.9669509434,-19.2601037736,-19.1200584906,-18.9634554717,-14.0851037736,-17.6154030189,-16.0282083019,-18.0513018868,-17.4972396226,-17.5631769811,-16.7407283019,-16.3749869811,-12.2168075472,-9.78646037736,-9.89866981132,-9.69046792453,-8.66642264151,-7.80680566038,-8.15458113208,2136.5,lap_10,event_8
-17.9238924528,-18.5672886792,-18.900309434,-17.0541603774,-14.1070509434,-15.975645283,-15.2667792453,-14.8813509434,-15.5043037736,-15.2669584906,-15.9484554717,-9.61250377358,-11.3090830189,-9.95362830189,-11.7692018868,-11.3315396226,-11.1184169811,-9.55702830189,-9.47131698113,-7.55090754717,-6.57076037736,-5.37156981132,-4.94216792453,-3.65632264151,-2.94190566038,-3.48898113208,2136.8,lap_10,event_8
-19.4593924528,-20.0566886792,-20.258209434,-17.7695603774,-15.5449609434,-17.001445283,-16.3472792453,-16.0813509434,-17.2928037736,-17.8356584906,-17.3674554717,-12.0973037736,-15.0594830189,-14.5989283019,-15.4337018868,-14.6786396226,-14.4329169811,-14.0468283019,-14.1949169811,-9.27900754717,-7.41696037736,-6.98836981132,-6.80756792453,-6.49532264151,-4.28380566038,-5.32188113208,2137.2,lap_10,event_8
-20.9949924528,-22.1046886792,-21.785709434,-20.8099203774,-17.5201509434,-19.395045283,-19.0487792453,-18.3097509434,-19.4390037736,-19.6705584906,-19.3184554717,-15.7416037736,-18.8069830189,-18.1696283019,-19.4472918868,-18.9065396226,-18.4835069811,-18.1775283019,-17.8270769811,-14.4633075472,-13.3394503774,-12.6471698113,-13.0820679245,-12.3406226415,-11.1621056604,-11.6537811321,2137.5,lap_10,event_8
-20.8243924528,-21.7322886792,-21.616009434,-20.4522303774,-17.5201509434,-19.224045283,-18.3283792453,-17.7955509434,-19.4390037736,-18.7530584906,-18.2544554717,-14.7477037736,-17.1047330189,-16.5641983019,-18.0513018868,-17.8495396226,-17.7472869811,-18.1775283019,-18.0084169811,-15.3273975472,-14.1841603774,-13.9376698113,-14.0995279245,-13.3426226415,-12.0009056604,-12.6534811321,2137.8,lap_10,event_8
-21.6774924528,-22.6631886792,-22.804109434,-21.5250303774,-18.4179509434,-20.249845283,-20.1293192453,-19.6811509434,-21.4063037736,-20.7713684906,-20.7364554717,-16.0729037736,-20.3389830189,-18.1696283019,-19.2727918868,-18.3775396226,-18.8510769811,-17.9978883019,-18.3711169811,-14.9817775472,-13.1705003774,-12.9698098113,-13.0820679245,-13.5096226415,-12.1687056604,-12.6534811321,2138.1,lap_10,event_8
-21.3362924528,-22.2908886792,-22.804109434,-21.1676603774,-18.7770509434,-19.907945283,-19.5889792453,-19.5101509434,-21.2275037736,-20.2209384906,-20.5594554717,-16.4042037736,-19.1473830189,-18.3479283019,-20.1445418868,-19.9635396226,-19.7700169811,-19.4325283019,-19.8218169811,-16.3623475472,-14.3531603774,-13.2924398113,-13.4211679245,-13.0086126415,-10.8266056604,-11.6537811321,2138.4,lap_10,event_8
-22.3599924528,-23.2217886792,-23.313509434,-22.2397603774,-18.9566509434,-20.933745283,-20.8496792453,-20.0241509434,-21.9429037736,-22.0535584906,-21.2684554717,-15.7416037736,-19.3176830189,-17.6347483019,-18.9237818868,-18.2015396226,-17.1949169811,-17.2795283019,-16.9200169811,-12.2168075472,-8.77096037736,-9.09016981132,-9.52086792453,-9.00042264151,-6.46470566038,-8.48778113208,2138.8,lap_10,event_8
-20.4831924528,-21.1737886792,-21.106809434,-20.4522303774,-17.3405509434,-19.736945283,-18.6885792453,-18.8240509434,-19.6178037736,-20.0374584906,-19.6724554717,-15.2446037736,-18.9771830189,-17.0998283019,-19.4472918868,-19.0825396226,-17.9314469811,-17.9978883019,-18.3711169811,-12.5624075472,-10.4634603774,-9.89866981132,-10.0295679245,-9.50152264151,-7.97460566038,-8.32118113208,2139.1,lap_10,event_8
-19.4593924528,-19.3119886792,-19.918709434,-17.7695603774,-15.1858309434,-16.659545283,-15.8070792453,-16.0813509434,-16.7562037736,-16.5513584906,-16.1264554717,-11.6003037736,-14.2071830189,-13.8842283019,-15.2592018868,-14.1501396226,-13.5122169811,-12.9693283019,-12.7415169811,-6.51410754717,-5.72446037736,-4.72486981132,-4.26386792453,-4.15732264151,-3.10990566038,-2.98898113208,2139.4,lap_10,event_8
-19.4593924528,-19.6843886792,-19.918709434,-19.0214603774,-15.9040509434,-17.514345283,-17.0676792453,-16.7669509434,-18.1870037736,-18.3861584906,-18.0764554717,-12.9255037736,-16.5937830189,-14.9562283019,-16.3062018868,-15.0309396226,-13.6963169811,-14.2264283019,-13.8315169811,-8.24210754717,-6.23226037736,-5.85666981132,-5.45096792453,-4.99232264151,-2.27090566038,-2.98898113208,2139.7,lap_10,event_8
-20.1418924528,-20.8013886792,-21.276609434,-19.2002603774,-16.6223509434,-18.369245283,-17.6079792453,-17.2812509434,-18.5447037736,-19.1200584906,-18.7864554717,-14.4164037736,-17.2749530189,-16.3855383019,-17.7023018868,-17.4972396226,-17.1949169811,-17.4591183019,-17.2830569811,-13.5993075472,-11.4789603774,-11.6770998113,-12.0645679245,-10.8375226415,-7.63910566038,-8.82108113208,2140.0,lap_10,event_8
-20.3124924528,-21.3599886792,-21.785709434,-20.6311003774,-17.6996509434,-19.053045283,-18.8686792453,-18.6525509434,-19.9755037736,-19.8539584906,-19.8504554717,-15.4103037736,-18.1260830189,-16.9215283019,-18.0513018868,-17.3210396226,-17.5631769811,-17.2795283019,-17.2830569811,-14.8089775472,-13.0015503774,-12.4854598113,-12.2341679245,-12.5076226415,-11.4977056604,-11.9869811321,2140.4,lap_10,event_8
